Date,Open,High,Low,Close,Volume
2014-05-05,34.353,34.452,34.158,34.269,25827408.0
2014-05-02,35.046,35.06,34.471,34.497,49953490.0
2014-05-01,34.973,35.078,34.723,34.767,33122650.0
2014-04-30,35.088,35.199,34.915,35.112,40797018.0
2014-04-29,35.721,35.802,35.104,35.208,34099068.0
2014-04-28,34.889,35.889,34.844,35.522,58223269.0
2014-04-25,35.019,35.355,34.549,34.685,65440648.0
2014-04-24,34.549,34.742,34.158,34.644,48739991.0
2014-04-23,34.752,34.759,34.307,34.497,28292330.0
2014-04-22,34.733,34.889,34.619,34.759,31129969.0
2014-04-21,34.863,34.899,34.583,34.714,25567248.0
2014-04-17,34.776,34.929,34.343,34.776,42211729.0
2014-04-16,34.817,35.13,34.685,35.112,35224945.0
2014-04-15,34.158,34.733,33.939,34.549,39082661.0
2014-04-14,33.993,34.253,33.807,34.056,36825088.0
2014-04-11,33.898,34.583,33.898,34.079,39499506.0
2014-04-10,35.149,35.365,33.974,34.21,52878082.0
2014-04-09,34.704,35.246,34.661,35.177,31520182.0
2014-04-08,34.549,34.704,34.072,34.611,41326811.0
2014-04-07,34.733,35.002,34.541,34.593,43208093.0
2014-04-04,35.853,35.975,34.452,34.654,59146332.0
2014-04-03,35.889,35.889,35.382,35.642,34676864.0
2014-04-02,36.018,36.207,35.784,35.937,32979368.0
2014-04-01,35.756,36.149,35.696,36.001,37517876.0
2014-03-31,35.112,36.071,35.112,35.626,53936251.0
2014-03-28,34.583,35.316,34.489,35.029,50017438.0
2014-03-27,34.541,34.742,34.193,34.21,40693893.0
2014-03-26,35.19,35.382,34.417,34.583,48303296.0
2014-03-25,35.337,35.626,34.733,35.06,49695750.0
2014-03-24,35.088,35.32,34.644,35.199,53038346.0
2014-03-21,35.391,35.585,34.776,34.906,92885895.0
2014-03-20,34.112,35.328,34.104,35.053,68192702.0
2014-03-19,34.226,34.375,33.817,34.129,40433076.0
2014-03-18,33.253,34.677,33.22,34.375,73708488.0
2014-03-17,32.95,33.385,32.844,33.07,23562752.0
2014-03-14,32.723,33.142,32.603,32.768,31289859.0
2014-03-13,33.394,33.421,32.715,32.934,37012694.0
2014-03-12,32.844,33.402,32.844,33.262,35087419.0
2014-03-11,32.917,33.228,32.785,33.045,29014649.0
2014-03-10,33.001,33.036,32.785,32.87,21869426.0
2014-03-07,33.288,33.339,32.76,32.943,30598263.0
2014-03-06,33.15,33.237,32.934,33.159,27148404.0
2014-03-05,33.245,33.262,32.967,33.124,23609520.0
2014-03-04,33.204,33.444,33.089,33.385,30907076.0
2014-03-03,32.958,33.142,32.586,32.835,34201657.0
2014-02-28,33.02,33.429,32.87,33.296,47420307.0
2014-02-27,32.551,32.934,32.358,32.907,39008924.0
2014-02-26,32.662,32.802,32.324,32.57,47221471.0
2014-02-25,32.723,32.897,32.461,32.627,35507895.0
2014-02-24,32.76,33.001,32.627,32.76,36980366.0
2014-02-21,32.975,33.33,32.907,33.011,43821367.0
2014-02-20,32.644,32.917,32.506,32.811,31672490.0
2014-02-19,32.349,32.811,32.343,32.603,34276676.0
2014-02-18,32.723,32.835,32.516,32.525,37778363.0
2014-02-14,32.257,32.595,32.204,32.452,49828853.0
2014-02-13,32.204,32.66,32.204,32.443,43637484.0
2014-02-12,32.221,32.435,32.178,32.325,31361943.0
2014-02-11,31.817,32.143,31.799,32.066,37277278.0
2014-02-10,31.59,31.747,31.308,31.747,31045085.0
2014-02-07,31.308,31.565,31.066,31.538,38648804.0
2014-02-06,30.893,31.272,30.79,31.211,41000993.0
2014-02-05,31.308,31.463,30.884,30.901,64719016.0
2014-02-04,31.895,32.082,31.272,31.358,63411400.0
2014-02-03,32.585,32.774,31.429,31.471,74299399.0
2014-01-31,31.886,32.686,31.538,32.643,108014781.0
